merchant_id,business_name,category_code,status,contract_terms
MERC00090,Carlson PLC,Entertainment,Active,Standard 1 year agreement
MERC00091,"Buckley, Stein and Carpenter",Finance,Active,
MERC00092,Johnson Ltd,Technology,Inactive,Standard 2 year agreement
MERC00093,Barr LLC,Entertainment,Active,
MERC00094,Smith LLC,Technology,Active,Standard 2 year agreement
MERC00095,Baker-Anderson,Other,Inactive,Standard 3 year agreement
MERC00096,Bullock and Sons,Healthcare,Active,Standard 2 year agreement
MERC00097,Hoffman Inc,Food & Beverage,Active,
MERC00098,White Ltd,Retail,Active,Standard 2 year agreement
MERC00099,Thomas-Salazar,Retail,Active,Standard 1 year agreement
